,BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
B2B Software,6.51,  new,0.00%,-%,1.02,10.00,18.51,9.27,1,6.96,7.84,1.23,15.20,7.35,8.00,B2B Software,NA,NA,NA
BANK BEES,NA, 70.98 new,NA,-%,-,NA,-,0.00,NA,-,-,-,2550.00,1780.25,2511.00,BANK BEES,2538.50,1778.00,2511.94
BANKEX,,,,,,,,,,,,,,,,BANKEX,,,
BCL Forgings,-1.87,  new,0.00%,-%,-,10.00,35.48,0.00,1,-,-,-,NA,NA,NA,BCL Forgings,NA,NA,NA
BDH Industries,48.02, 100 new,20.00%,2.52%,5.80,10.00,29.58,45.66,1,11.26,13.67,1.65,98.50,56.85,79.30,BDH Industries,NA,NA,NA
BEML,526.76, 11.68 new,40.00%,0.24%,20.28,10.00,31.07,"6,980.45",1,47.67,82.65,3.18,1685.00,770.15,1676.20,BEML,1685.00,771.00,1673.80
BHEL,137.07, 19.04 new,20.00%,0.28%,2.03,2.00,31.07,"35,147.54",1,26.16,70.74,1.05,182.65,116.15,143.60,BHEL,182.75,116.10,143.80
BITS,1.69,  new,0.00%,-%,-,2.00,49.52,2.35,1,-,-,0.12,0.47,0.19,0.21,BITS,NA,NA,NA
BOI Boinanza Ex,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,BOI Boinanza Ex,NA,NA,NA
BOI Double2+90A,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,BOI Double2+90A,NA,NA,NA
BOI Double2+90B,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,BOI Double2+90B,NA,NA,NA
BPL Engineering,-16.37,  new,0.00%,-%,-,10.00,18.28,0.00,1,-,-,-,NA,NA,NA,BPL Engineering,NA,NA,NA
BS Refrigerator,-87.37,  new,0.00%,-%,-,10.00,20.31,0.00,1,-,-,-,NA,NA,NA,BS Refrigerator,NA,NA,NA
BSI,-99.45,  new,0.00%,-%,* -,0.00,0.95,0.00,100,-,-,-,NA,NA,NA,BSI,NA,NA,NA
BSL,76.57, 80.87 new,12.00%,1.66%,5.36,10.00,22.67,74.57,1,3.46,13.52,0.95,95.55,52.30,72.45,BSL,99.90,52.55,72.90
BWL,-7.21,  new,0.00%,-%,-,10.00,22.29,0.00,50,-,-,-,NA,NA,NA,BWL,NA,NA,NA
Bafna Spinning,1.02,  new,0.00%,-%,* -,1.00,14.26,0.00,1,-,-,-,NA,NA,NA,Bafna Spinning,NA,NA,NA
Bajaj Healthcar,67.39, 100 new,0.00%,-%,* -,10.00,26.09,0.00,400,-,-,-,NA,NA,NA,Bajaj Healthcar,NA,NA,NA
Bajaj Hind Sug,14.40,  new,0.00%,-%,-,1.00,15.26,0.00,1,-,-,-,NA,NA,NA,Bajaj Hind Sug,NA,NA,NA
Bajaj Holdings,659.18, 59.07 new,0.00%,-%,50.62,10.00,39.26,"26,339.28",1,46.31,46.75,3.59,2430.00,1745.00,2366.65,Bajaj Holdings,2434.80,1742.50,2385.50
Bajaj Steel,245.72, 55.46 new,0.00%,-%,-,10.00,31.07,33.28,1,-,-,0.58,172.00,120.00,141.60,Bajaj Steel,NA,NA,NA
Bala Techno,1.00,  new,0.00%,-%,-,1.00,39.26,0.00,1,-,-,-,NA,NA,NA,Bala Techno,NA,NA,NA
Bala Techno Ind,14.67,  new,0.00%,-%,-,10.00,23.65,0.00,1,-,-,-,NA,NA,NA,Bala Techno Ind,NA,NA,NA
Balaji Distill,-7.96,  new,0.00%,-%,3.66,10.00,29.43,0.00,1,-,-,-,NA,NA,NA,Balaji Distill,NA,NA,NA
Balaji Hotel,0.40,  new,0.00%,-%,* -,10.00,34.92,0.00,1,-,-,-,NA,NA,NA,Balaji Hotel,NA,NA,NA
Balgopal Commer,10.98,  new,0.00%,-%,0.03,10.00,51.24,16.51,1,333.33,333.33,0.91,10.00,10.00,10.00,Balgopal Commer,NA,NA,NA
Balkrishna ,46.28, 24.93 new,0.00%,-%,-,10.00,11.71,104.18,1,-,-,2.10,119.50,36.25,97.00,Balkrishna ,119.75,36.05,96.50
Ballarpur Ind,17.66, 67.24 new,0.00%,-%,-,2.00,11.71,"1,130.78",1,-,-,0.98,22.70,12.87,17.25,Ballarpur Ind,22.85,12.65,17.25
Balsara Hygiene,40.00,  new,0.00%,-%,3.06,0.00,-,0.00,50,-,-,-,NA,NA,NA,Balsara Hygiene,NA,NA,NA
Bansal Roofing,28.17,  new,0.00%,-%,* -,10.00,14.87,14.78,2000,-,-,2.39,122.90,34.50,67.25,Bansal Roofing,NA,NA,NA
Bansisons Tea,9.93,  new,0.00%,-%,0.06,10.00,19.13,0.00,100,-,-,-,NA,NA,NA,Bansisons Tea,NA,NA,NA
Banswara Syntex,155.38, 83.47 new,20.00%,1.20%,9.69,10.00,10.82,284.13,1,3.83,17.13,1.07,261.00,135.00,166.00,Banswara Syntex,261.00,135.10,166.00
Barar Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Barar Ind,NA,NA,NA
Barium Chemcial,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Barium Chemcial,NA,NA,NA
Baroda Polyplas,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Baroda Polyplas,NA,NA,NA
Baron Infotech,1.64, 100 new,0.00%,-%,-,10.00,18.51,0.35,1,-,-,0.21,0.51,0.31,0.34,Baron Infotech,NA,NA,NA
Bathina Techno,20.29,  new,0.00%,-%,-,10.00,20.61,0.00,1,-,-,-,NA,NA,NA,Bathina Techno,NA,NA,NA
Batliboi,8.94, 84.31 new,0.00%,-%,-,5.00,27.65,79.69,1,-,-,3.10,43.90,19.00,27.75,Batliboi,NA,NA,NA
Bayer India,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bayer India,NA,NA,NA
Beckons Ind,3.87,  new,0.00%,-%,-,10.00,18.03,0.00,1,-,-,-,NA,NA,NA,Beckons Ind,NA,NA,NA
Bedmutha Ind,17.47, 100 new,0.00%,-%,-,10.00,69.88,85.37,1,-,-,1.99,50.00,16.60,34.80,Bedmutha Ind,49.95,16.50,34.90
Bee-am Chemical,2.42,  new,0.00%,-%,-,10.00,36.03,0.00,100,-,-,-,NA,NA,NA,Bee-am Chemical,NA,NA,NA
Beekay Steel,120.65, 100 new,10.00%,0.68%,18.60,10.00,15.09,279.69,1,5.56,7.88,1.22,189.35,73.00,146.65,Beekay Steel,NA,NA,NA
Belwal Spinning,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Belwal Spinning,NA,NA,NA
Bemco Hydraulic,18.44, 79.68 new,0.00%,-%,18.92,10.00,174.81,37.37,1,6.97,9.03,9.27,194.00,84.20,170.90,Bemco Hydraulic,NA,NA,NA
Bentley Commerc,15.74,  new,0.00%,-%,0.55,10.00,26.39,0.00,50,-,-,-,NA,NA,NA,Bentley Commerc,NA,NA,NA
Bervin Invest,4.48,  new,0.00%,-%,-,10.00,39.26,10.65,1,-,-,4.03,23.30,18.05,18.05,Bervin Invest,NA,NA,NA
Besco,40.53,  new,12.50%,-%,* -,10.00,16.67,0.00,100,-,-,-,NA,NA,NA,Besco,NA,NA,NA
Best Eastern,2.00,  new,0.00%,-%,0.09,1.00,59.12,135.81,1,158.04,895.56,40.30,81.00,27.00,80.60,Best Eastern,NA,NA,NA
Besta Vision,-13.28,  new,0.00%,-%,0.79,10.00,7.99,0.00,1,-,-,-,NA,NA,NA,Besta Vision,NA,NA,NA
Betala Global,9.53,  new,0.00%,-%,0.10,10.00,26.39,0.00,1,-,-,-,NA,NA,NA,Betala Global,NA,NA,NA
Betex,135.83,  new,0.00%,-%,5.97,10.00,23.65,7.80,1,3.34,8.71,0.38,73.40,39.05,52.00,Betex,NA,NA,NA
Bhageria Indu,76.00, 61.21 new,50.00%,0.78%,27.33,5.00,19.71,512.32,1,10.95,11.77,4.23,711.35,108.50,321.70,Bhageria Indu,452.85,108.83,321.85
Bhagiradh Chem,95.29, 99.09 new,0.00%,-%,4.01,10.00,46.58,92.36,1,15.75,45.57,1.92,194.85,101.00,182.75,Bhagiradh Chem,NA,NA,NA
Bhagwandas Meta,20.53,  new,0.00%,-%,0.41,10.00,12.55,4.71,1,29.34,31.49,0.63,15.42,5.73,12.91,Bhagwandas Meta,NA,NA,NA
Bhagwati Gases,10.64,  new,0.00%,-%,-,10.00,35.12,0.00,1,-,-,-,NA,NA,NA,Bhagwati Gases,NA,NA,NA
Bhagwati Oxygen,54.73, 100 new,0.00%,-%,3.88,10.00,35.12,8.10,1,6.16,9.02,0.64,53.55,17.70,35.00,Bhagwati Oxygen,NA,NA,NA
Bhagyoday Infra,-225.82,  new,0.00%,-%,-,10.00,23.93,0.00,50,-,-,-,NA,NA,NA,Bhagyoday Infra,NA,NA,NA
Bhakti Gems,NA, 100 new,NA,-%,-,NA,-,13.70,NA,-,-,-,24.00,16.00,20.10,Bhakti Gems,NA,NA,NA
Bharat Berg,-112.05,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Bharat Berg,NA,NA,NA
Bharat Chemical,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bharat Chemical,NA,NA,NA
Bharat Commerce,-125.08,  new,0.00%,-%,-,10.00,2.81,0.00,1,-,-,-,NA,NA,NA,Bharat Commerce,NA,NA,NA
Bharat F Press,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bharat F Press,NA,NA,NA
Bharat Fin,177.27, 39.16 new,0.00%,-%,1.21,10.00,39.26,"11,676.53",1,395.30,699.13,4.77,938.75,465.40,845.95,Bharat Fin,939.00,465.10,849.05
Bharat Forge,181.79, 56.79 new,125.00%,0.22%,25.13,2.00,55.13,"26,802.77",1,30.46,45.82,6.33,1220.45,716.70,1151.35,Bharat Forge,1221.00,716.00,1151.10
Bharat Hotels,NA,  new,10.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Bharat Hotels,NA,NA,NA
Bharat Immuno,9.68, 100 new,0.00%,-%,1.18,10.00,29.58,112.92,1,20.92,22.16,2.70,38.40,16.65,26.15,Bharat Immuno,NA,NA,NA
Bharat Seats,19.78, 66.90 new,45.00%,0.78%,4.73,2.00,37.22,363.93,1,11.39,24.50,5.86,131.95,40.50,115.90,Bharat Seats,NA,NA,NA
Bharat Wire Rop,31.13, 57.63 new,0.00%,-%,0.36,10.00,69.88,452.67,1,81.87,279.72,3.23,120.50,38.20,100.70,Bharat Wire Rop,120.40,38.15,100.50
Bharti Airtel,253.18, 41.58 new,20.00%,0.24%,-,5.00,29.08,"165,232.53",1,146.06,-,1.63,431.00,283.95,413.35,Bharti Airtel,431.60,283.05,413.30
Bharti Infratel,87.79, 60.79 new,160.00%,3.96%,14.20,10.00,27.66,"74,668.68",1,19.69,28.43,4.60,439.00,283.10,403.70,Bharti Infratel,425.00,281.75,403.90
Bharti Telecom,500.36,  new,0.00%,-%,2.22,10.00,21.85,0.00,100,-,-,-,NA,NA,NA,Bharti Telecom,NA,NA,NA
Bheema Cements,20.69,  new,0.00%,-%,-,10.00,42.58,0.00,1,-,-,-,NA,NA,NA,Bheema Cements,NA,NA,NA
Bhilai Engineer,291.59,  new,0.00%,-%,154.68,10.00,15.73,0.00,50,-,-,-,NA,NA,NA,Bhilai Engineer,NA,NA,NA
Bhor Industries,0.63,  new,0.00%,-%,* -,1.00,36.25,0.00,1,-,-,-,NA,NA,NA,Bhor Industries,NA,NA,NA
Bhupen Cap,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bhupen Cap,NA,NA,NA
Bhutta Printing,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bhutta Printing,NA,NA,NA
Bhuwalka Steel,7.05,  new,0.00%,-%,-,10.00,15.09,0.00,1,-,-,-,NA,NA,NA,Bhuwalka Steel,NA,NA,NA
Bijlee Textiles,61.83,  new,0.00%,-%,-,10.00,25.96,0.00,1,-,-,-,NA,NA,NA,Bijlee Textiles,NA,NA,NA
Bil Energy,2.23, 100 new,0.00%,-%,* -,1.00,17.82,8.03,1,1.90,-,0.34,1.19,0.58,0.76,Bil Energy,1.10,0.60,0.65
Bilcare,192.49, 79.13 new,0.00%,-%,-,10.00,23.10,131.38,1,-,-,0.29,83.95,47.15,55.80,Bilcare,NA,NA,NA
Bimetal Bearing,428.99, 88.62 new,75.00%,1.70%,13.07,10.00,36.58,168.30,1,18.56,33.66,1.03,511.25,332.45,440.00,Bimetal Bearing,NA,NA,NA
Bio Green Ind,40.38,  new,0.00%,-%,0.60,10.00,51.24,0.00,1,-,-,-,NA,NA,NA,Bio Green Ind,NA,NA,NA
Biopac India,11.73, 80.23 new,0.00%,-%,0.06,10.00,33.56,35.10,1,6.28,339.17,1.73,31.90,11.76,20.35,Biopac India,NA,NA,NA
Birla Machining,22.41,  new,0.00%,-%,-,10.00,30.95,0.00,1,-,-,-,NA,NA,NA,Birla Machining,NA,NA,NA
Birla Power Sol,2.62,  new,0.00%,-%,-,1.00,40.23,0.00,1,-,-,-,NA,NA,NA,Birla Power Sol,NA,NA,NA
Birmingham Ther,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Birmingham Ther,NA,NA,NA
Bishnauth Tea,127.39,  new,40.00%,-%,* -,0.00,-,0.00,1,-,-,-,NA,NA,NA,Bishnauth Tea,NA,NA,NA
Bk Of Rajasthan,33.55,  new,0.00%,-%,-,10.00,11.44,0.00,1,-,-,-,NA,NA,NA,Bk Of Rajasthan,NA,NA,NA
Black Rose Ind,4.98, 94.58 new,0.00%,-%,0.90,1.00,22.67,125.21,1,17.05,27.28,4.93,31.10,20.00,24.55,Black Rose Ind,NA,NA,NA
Bloom Dekor,18.46, 100 new,0.00%,-%,-,10.00,32.84,36.65,1,-,-,2.90,84.90,24.00,53.50,Bloom Dekor,NA,NA,NA
Bloom Ind,12.81,  new,0.00%,-%,4.55,10.00,6.02,2.00,100,0.90,0.93,0.33,5.50,3.90,4.24,Bloom Ind,NA,NA,NA
Blue Blends,22.26, 66.06 new,5.00%,1.10%,3.38,10.00,24.04,93.80,1,10.21,13.48,2.05,84.30,35.00,45.55,Blue Blends,86.00,38.15,45.60
Blue Chip,0.19, 100 new,0.00%,-%,-,2.00,39.26,1.16,1,-,-,1.11,0.51,0.21,0.21,Blue Chip,0.55,0.15,0.20
Blue Circle Ser,0.58,  new,0.00%,-%,-,1.00,39.26,77.32,1,-,-,6.55,4.35,3.77,3.80,Blue Circle Ser,NA,NA,NA
Blue Dart,219.86, 49.27 new,150.00%,0.35%,49.13,10.00,67.30,"10,203.49",1,63.57,87.53,19.56,6008.00,4160.00,4300.20,Blue Dart,5930.05,4160.65,4288.30
Blue Star,95.94, 61.15 new,0.00%,-%,11.70,2.00,44.34,"6,689.29",1,40.07,59.77,7.29,723.95,435.00,699.30,Blue Star,725.00,436.00,699.40
Bluegold Mari,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bluegold Mari,NA,NA,NA
Bodal Chemicals,33.74, 44.03 new,30.00%,0.33%,11.91,2.00,19.71,"1,957.93",1,12.57,15.07,5.32,193.60,99.60,179.45,Bodal Chemicals,193.75,99.55,179.85
Bombay Burmah,46.88, 57.39 new,50.00%,0.11%,-,2.00,32.72,"6,138.88",1,"1,205.27",-,18.77,964.80,394.00,879.85,Bombay Burmah,966.00,395.00,882.75
Bombay Cycle,657.09, 60.00 new,40.00%,0.25%,60.00,10.00,51.24,32.50,1,24.35,27.08,2.47,1883.00,1300.00,1625.00,Bombay Cycle,NA,NA,NA
Bombay Dyeing,19.53, 36.50 new,35.00%,0.84%,2.02,2.00,24.04,"1,720.44",1,22.70,41.24,4.27,92.95,41.20,83.30,Bombay Dyeing,92.95,41.60,83.30
Bombay Oxygen,13520.67,  new,20.00%,-%,260.66,100.00,35.12,0.00,5,-,-,-,NA,NA,NA,Bombay Oxygen,NA,NA,NA
Bombay Potterie,64.32,  new,0.00%,-%,-,100.00,23.93,0.00,5,-,-,-,NA,NA,NA,Bombay Potterie,NA,NA,NA
Bombay Silk,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bombay Silk,NA,NA,NA
Bongaigaon Ref,57.66,  new,50.00%,-%,-,10.00,9.66,0.00,1,-,-,-,NA,NA,NA,Bongaigaon Ref,NA,NA,NA
Borosil Glass,3340.90, 87.79 new,250.00%,0.28%,548.48,10.00,36.51,"2,052.76",1,15.49,16.20,2.66,9666.00,4016.00,8886.40,Borosil Glass,NA,NA,NA
Bronze Infra,14.83, 79.38 new,0.00%,-%,0.01,10.00,35.29,1.80,1,104.00,104.00,0.07,3.82,0.88,1.04,Bronze Infra,NA,NA,NA
Bronze Trading ,8.38,  new,0.00%,-%,0.02,10.00,39.26,1.70,1,113.33,170.00,0.41,51.70,3.40,3.40,Bronze Trading ,NA,NA,NA
Brothers Comp,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Brothers Comp,NA,NA,NA
Burr-Brown,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Burr-Brown,NA,NA,NA
Butterfly,100.15, 78.74 new,12.50%,0.68%,-,10.00,47.76,329.16,1,-,-,1.84,274.75,138.15,184.10,Butterfly,275.15,138.00,184.00
C & C Construct,40.50, 100 new,0.00%,-%,13.43,10.00,35.29,172.65,1,2.26,5.05,1.68,84.75,13.00,67.85,C & C Construct,83.50,13.00,67.40
C Mahendra Expo,49.59,  new,0.00%,-%,-,10.00,18.79,0.00,1,-,-,-,NA,NA,NA,C Mahendra Expo,NA,NA,NA
CCCL,-0.82, 93.41 new,0.00%,-%,-,2.00,35.29,183.32,1,-,-,-,6.62,2.80,4.60,CCCL,6.50,2.90,4.65
CCL Internation,21.49, 100 new,0.00%,-%,1.54,10.00,51.24,40.30,1,9.17,13.64,0.98,49.75,21.00,21.00,CCL Internation,NA,NA,NA
CDR Health Care,9.09,  new,0.00%,-%,* -,10.00,54.86,4.00,100,-,-,0.83,7.58,2.10,7.58,CDR Health Care,NA,NA,NA
CES Limited,332.61,  new,0.00%,-%,75.95,10.00,18.34,0.00,1,-,-,-,NA,NA,NA,CES Limited,NA,NA,NA
CG Impex,11.44,  new,0.00%,-%,-,10.00,23.72,0.00,1,-,-,-,NA,NA,NA,CG Impex,NA,NA,NA
CG Power ,67.85, 44.69 new,0.00%,-%,2.53,2.00,52.97,"5,305.41",1,21.22,33.46,1.25,97.30,55.60,84.65,CG Power ,97.40,55.60,84.85
CG-Vak Software,17.85, 89.54 new,5.00%,1.64%,0.72,10.00,18.51,15.40,1,24.02,42.36,1.71,45.90,22.05,30.50,CG-Vak Software,NA,NA,NA
CHD Chemicals,11.09,  new,0.00%,-%,* -,10.00,51.24,8.36,10000,-,-,0.98,14.45,7.80,10.90,CHD Chemicals,NA,NA,NA
CHI Investments,115.67,  new,0.00%,-%,2.51,10.00,19.75,0.00,1,-,-,-,NA,NA,NA,CHI Investments,NA,NA,NA
CL Educate,190.11, 71.96 new,0.00%,-%,* -,10.00,56.05,568.23,1,-,-,2.11,502.00,349.55,401.20,CL Educate,502.00,349.55,409.60
CLC Global,14.29,  new,0.00%,-%,3.69,0.00,43.90,0.00,1,-,-,-,NA,NA,NA,CLC Global,NA,NA,NA
CMC,393.09,  new,275.00%,-%,93.93,10.00,22.90,0.00,1,-,-,-,NA,NA,NA,CMC,NA,NA,NA
CMI,65.77, 54.65 new,10.00%,0.48%,13.35,10.00,29.67,312.65,1,14.60,15.58,3.16,236.55,118.10,208.05,CMI,236.70,131.20,208.55
CNI Research,1.98, 85.96 new,0.00%,-%,0.01,1.00,43.78,30.08,1,262.00,262.00,1.32,4.65,2.15,2.62,CNI Research,NA,NA,NA
CPSE ETF,NA, 78.72 new,NA,-%,-,NA,-,"4,550.48",NA,-,-,-,30.95,22.30,26.47,CPSE ETF,31.00,22.10,26.51
CRB Share Custo,178.63,  new,0.00%,-%,0.01,10.00,27.21,0.00,100,-,-,-,NA,NA,NA,CRB Share Custo,NA,NA,NA
CSL Fin,245.16, 96.10 new,0.00%,-%,35.07,10.00,39.26,171.58,1,10.38,10.45,1.49,402.45,121.35,366.45,CSL Fin,NA,NA,NA
Cadila Health,64.65, 34.78 new,320.00%,0.59%,7.81,1.00,29.58,"55,824.68",1,53.15,69.82,8.43,558.00,329.95,545.30,Cadila Health,560.00,328.80,545.85
Caldyn Aircon,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Caldyn Aircon,NA,NA,NA
Camphor and All,350.30, 94.14 new,15.00%,0.20%,47.05,10.00,29.64,383.84,1,10.73,15.89,2.13,880.00,545.50,747.70,Camphor and All,NA,NA,NA
Camson Bio Tech,25.68, 100 new,0.00%,-%,-,10.00,7.43,51.75,1,-,-,0.67,38.70,15.00,17.25,Camson Bio Tech,NA,NA,NA
Cana Glass,-41.74,  new,0.00%,-%,0.06,10.00,47.46,0.00,100,-,-,-,NA,NA,NA,Cana Glass,NA,NA,NA
Cantriple MF,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Cantriple MF,NA,NA,NA
Cantriple Plus,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Cantriple Plus,NA,NA,NA
Capfin India,11.12,  new,0.00%,-%,0.19,10.00,39.26,0.56,1,9.85,10.37,0.18,2.33,1.90,1.97,Capfin India,NA,NA,NA
Capri Global,65.26, 69.12 new,15.00%,0.42%,3.16,2.00,39.26,"1,265.46",1,21.24,22.85,1.11,407.00,37.30,72.20,Capri Global,81.53,32.21,72.05
Caprihans,96.60, 96.63 new,15.00%,1.41%,7.35,10.00,63.54,139.75,1,10.68,14.48,1.10,131.70,86.30,106.40,Caprihans,NA,NA,NA
Carborundum,55.92, 64.54 new,100.00%,0.29%,6.45,1.00,47.20,"6,575.01",1,34.85,54.03,6.23,364.80,228.00,348.50,Carborundum,365.00,233.00,349.25
Carona,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Carona,NA,NA,NA
Ceejay Finance,99.88, 79.91 new,15.00%,1.20%,13.55,10.00,39.26,43.11,1,8.92,9.22,1.25,135.05,52.00,124.95,Ceejay Finance,NA,NA,NA
Ceenik Exports,53.63,  new,0.00%,-%,-,10.00,40.41,2.99,1,-,-,0.17,12.34,5.72,8.92,Ceenik Exports,NA,NA,NA
Celeste,15.56,  new,NA,-%,-,0.00,-,0.00,100,-,-,-,NA,NA,NA,Celeste,NA,NA,NA
Centerac Tech,0.66,  new,0.00%,-%,-,1.00,18.51,1.18,1,-,-,1.62,2.00,0.99,1.07,Centerac Tech,NA,NA,NA
Central Prov Rl,5.13,  new,0.00%,-%,-,10.00,30.96,84.07,1,-,-,88.27,452.85,150.85,452.85,Central Prov Rl,NA,NA,NA
Centron Ind,2.31,  new,0.00%,-%,0.01,1.00,30.96,0.00,1,-,-,-,NA,NA,NA,Centron Ind,NA,NA,NA
Centrum Capital,7.24, 68.94 new,0.00%,-%,0.90,1.00,39.26,"2,123.85",1,53.18,56.72,7.05,54.70,20.10,51.05,Centrum Capital,NA,NA,NA
Century,222.20, 17.00 new,55.00%,0.47%,8.30,10.00,19.70,"13,133.18",1,32.28,141.66,5.29,1218.20,663.00,1175.80,Century,1218.80,662.00,1176.60
Century Protein,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Century Protein,NA,NA,NA
Century Tubes,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Century Tubes,NA,NA,NA
CenturyPlyboard,23.70, 56.55 new,100.00%,0.33%,8.34,1.00,32.84,"6,682.49",1,28.09,36.01,12.67,312.95,154.50,300.30,CenturyPlyboard,314.00,154.45,299.65
Chakan Vegoils,-19.73,  new,0.00%,-%,* -,0.00,0.40,0.00,100,-,-,-,NA,NA,NA,Chakan Vegoils,NA,NA,NA
Chamak Holdings,9.43,  new,0.00%,-%,0.58,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Chamak Holdings,NA,NA,NA
Chambal Fert,66.04, 26.83 new,19.00%,1.42%,10.21,10.00,17.49,"5,577.19",1,11.46,13.12,2.03,140.80,53.70,134.00,Chambal Fert,140.80,53.55,133.90
Champagne India,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Champagne India,NA,NA,NA
Chand Vanaspati,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Chand Vanaspati,NA,NA,NA
Chandra Synth,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Chandra Synth,NA,NA,NA
Charminar Brew,NA,  new,8.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Charminar Brew,NA,NA,NA
Charminar Gran,-5.62,  new,0.00%,-%,* -,10.00,4.57,0.00,100,-,-,-,NA,NA,NA,Charminar Gran,NA,NA,NA
Chase Bright,3.47,  new,0.00%,-%,-,10.00,23.95,0.00,50,-,-,-,NA,NA,NA,Chase Bright,NA,NA,NA
Chembond Chem,147.35, 96.20 new,33.00%,0.69%,2.47,5.00,46.30,321.55,1,53.13,96.80,1.62,514.95,179.70,239.10,Chembond Chem,NA,NA,NA
Chemiequip,-5.87,  new,NA,-%,* -,0.00,-,0.00,50,-,-,-,NA,NA,NA,Chemiequip,NA,NA,NA
Cheminor Drugs,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Cheminor Drugs,NA,NA,NA
Cheslind Textil,7.10,  new,0.00%,-%,-,10.00,15.28,0.00,1,-,-,-,NA,NA,NA,Cheslind Textil,NA,NA,NA
Cheviot Company,804.14, 82.10 new,170.00%,1.37%,100.98,10.00,12.72,558.31,1,10.60,12.26,1.54,1417.90,726.00,1237.60,Cheviot Company,NA,NA,NA
Chhatar Extract,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Chhatar Extract,NA,NA,NA
Chhattar Ind,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Chhattar Ind,NA,NA,NA
Chokhani Global,0.03,  new,0.00%,-%,-,10.00,55.47,0.00,100,-,-,-,NA,NA,NA,Chokhani Global,NA,NA,NA
Choksi Tube,120.17,  new,0.00%,-%,-,10.00,9.69,0.00,1,-,-,-,NA,NA,NA,Choksi Tube,NA,NA,NA
Cholamandalam,275.93, 76.03 new,35.00%,0.30%,48.60,10.00,39.26,"18,426.10",1,23.10,24.26,4.27,1243.90,805.10,1178.95,Cholamandalam,1243.00,804.05,1179.85
Chromatic India,49.00, 100 new,0.00%,-%,* -,10.00,19.71,18.19,1,64.00,-,0.05,4.35,1.90,2.56,Chromatic India,4.50,1.90,2.55
Cipla,159.10, 54.24 new,100.00%,0.35%,12.12,2.00,29.58,"45,481.64",1,30.84,46.64,3.55,621.90,479.00,565.30,Cipla,621.25,480.20,566.10
Citizen Info,8.96,  new,0.00%,-%,0.06,10.00,43.78,3.69,1,9.12,114.00,0.76,8.70,3.85,6.84,Citizen Info,NA,NA,NA
Citurgia Bioche,-1.93,  new,0.00%,-%,-,10.00,32.24,0.00,1,-,-,-,NA,NA,NA,Citurgia Bioche,NA,NA,NA
