,**MARKET CAP (Rs Cr),BOOK VALUE (Rs),DELIVERABLES (%),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,bse_52wk_high,bse_52wk_low,bse_price,company_name,nse_52wk_high,nse_52wk_low,nse_price
B.D. Industries,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,B.D. Industries,NA,NA,NA
BAG Films,,14.00, 81.94 new,0.00%,-%,-,2.00,43.78,93.68,1,17.79,-,0.36,6.44,3.81,4.98,BAG Films,6.50,3.75,4.95
BALCO,,,,,,,,,,,,,,,,,BALCO,,,
BCC Fuba,,-6.96, 100 new,0.00%,-%,-,10.00,25.89,6.21,1,256.25,-,-,10.25,4.20,10.25,BCC Fuba,NA,NA,NA
BIL Continental,,25.81,  new,0.00%,-%,0.14,10.00,114.78,3.96,100,14.22,58.93,0.32,8.45,3.79,8.25,BIL Continental,NA,NA,NA
BL Kashyap,,21.37, 55.61 new,0.00%,-%,0.33,1.00,35.29,848.47,1,34.42,125.15,1.93,51.40,17.50,41.30,BL Kashyap,51.50,16.10,41.15
BLB,,18.92, 100 new,0.00%,-%,0.06,1.00,39.26,33.99,1,49.46,107.17,0.34,8.77,3.74,6.43,BLB,8.85,3.80,6.05
BLS Infotech,,0.94, 100 new,0.00%,-%,* -,1.00,18.51,11.82,1,-,-,0.29,0.39,0.25,0.27,BLS Infotech,NA,NA,NA
BLS Internation,,1.70, 59.35 new,0.00%,-%,0.31,1.00,52.35,"2,079.22",1,441.20,654.68,119.38,2050.00,10.00,202.95,BLS Internation,221.45,88.20,202.25
BNK Capital,,57.67, 92.53 new,10.00%,1.24%,9.29,10.00,39.26,80.80,1,8.51,8.70,1.40,81.65,30.65,80.80,BNK Capital,NA,NA,NA
BOB Elss 97,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,BOB Elss 97,NA,NA,NA
BPL Display Dev,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,BPL Display Dev,NA,NA,NA
BPL Sanyo Tech,,-40.79,  new,0.00%,-%,-,10.00,7.99,0.00,1,-,-,-,NA,NA,NA,BPL Sanyo Tech,NA,NA,NA
Bacil Pharma,,9.78, 100 new,0.00%,-%,* -,10.00,29.58,3.53,1,-,-,0.61,10.50,3.42,6.00,Bacil Pharma,NA,NA,NA
Baffin Engg,,0.75,  new,0.00%,-%,-,1.00,22.86,0.00,1,-,-,-,NA,NA,NA,Baffin Engg,NA,NA,NA
Bajaj Electric,,85.94, 70.65 new,0.00%,-%,10.62,2.00,47.76,"3,328.81",1,24.21,30.91,3.82,387.85,202.50,328.25,Bajaj Electric,387.40,202.00,327.70
Bajaj Hind,,20.89, 48.08 new,0.00%,-%,0.07,1.00,7.85,"1,803.49",1,8.16,227.29,0.76,20.55,12.90,15.91,Bajaj Hind,20.60,12.90,15.90
Bal Pharma,,43.01, 32.95 new,10.00%,0.94%,3.50,10.00,29.58,150.94,1,13.21,30.43,2.48,123.30,82.05,106.50,Bal Pharma,123.45,82.05,106.10
Balaji Bonds,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Balaji Bonds,NA,NA,NA
Balaji St Tubes,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Balaji St Tubes,NA,NA,NA
Balasore Alloys,,57.41, 94.90 new,12.00%,1.11%,10.07,5.00,5.32,481.79,1,4.29,5.38,0.94,77.20,19.50,54.20,Balasore Alloys,NA,NA,NA
Balkrishna Ind,,363.18, 34.74 new,275.00%,0.34%,73.99,2.00,18.80,"15,716.69",1,15.42,21.98,4.48,1750.00,705.00,1626.00,Balkrishna Ind,1743.00,706.25,1625.70
Balrampur Chini,,77.52, 24.47 new,0.00%,-%,25.20,1.00,7.85,"3,883.55",1,5.57,6.56,2.13,170.55,98.60,165.25,Balrampur Chini,170.50,97.00,165.40
Balwant Textile,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Balwant Textile,NA,NA,NA
Banas Finance,,2.61,  new,0.00%,-%,-,1.00,39.26,6.48,1,-,-,0.22,0.88,0.37,0.57,Banas Finance,NA,NA,NA
Banco Products,,78.38, 53.23 new,230.00%,1.98%,14.99,2.00,37.00,"1,664.95",1,13.36,15.53,2.97,255.60,156.60,232.80,Banco Products,255.90,158.10,231.90
Bangalore Fort,,11.71,  new,0.00%,-%,* -,10.00,12.72,2.45,1,-,-,0.80,24.70,8.46,9.40,Bangalore Fort,NA,NA,NA
Bank of India,,287.09, 9.34 new,0.00%,-%,-,10.00,20.79,"17,803.80",1,-,-,0.58,197.25,99.80,166.05,Bank of India,197.20,99.65,166.00
Bank of Punjab,,22.97,  new,0.00%,-%,-,0.00,44.05,0.00,1,-,-,-,NA,NA,NA,Bank of Punjab,NA,NA,NA
Bannariamman,,849.91, 66.89 new,75.00%,0.36%,114.30,10.00,7.85,"2,637.29",1,12.39,18.40,2.47,2325.00,1721.00,2103.15,Bannariamman,2340.00,1621.00,2102.15
Banswara Textil,,28.81,  new,0.00%,-%,12.17,0.00,1.50,0.00,100,-,-,-,NA,NA,NA,Banswara Textil,NA,NA,NA
Barkha Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Barkha Ind,NA,NA,NA
Baroda Agro Ind,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Baroda Agro Ind,NA,NA,NA
Baroda Alloys,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Baroda Alloys,NA,NA,NA
Baroda Electric,,-14.25,  new,0.00%,-%,-,10.00,33.82,0.00,50,-,-,-,NA,NA,NA,Baroda Electric,NA,NA,NA
Baroda Extrusio,,-1.05, 100 new,0.00%,-%,-,1.00,55.15,5.07,1,-,-,-,0.51,0.20,0.34,Baroda Extrusio,NA,NA,NA
Baroda Rayon,,-103.29,  new,0.00%,-%,-,10.00,16.91,0.00,1,-,-,-,NA,NA,NA,Baroda Rayon,NA,NA,NA
Basil Chemicals,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Basil Chemicals,NA,NA,NA
Bayer CropScien,,581.73, 84.82 new,170.00%,0.36%,82.31,10.00,46.58,"16,581.03",1,51.83,56.98,8.06,5050.00,3680.15,4690.00,Bayer CropScien,5070.00,3669.65,4694.80
Bee Electronic,,-8.23,  new,0.00%,-%,0.04,10.00,22.69,0.00,1,-,-,-,NA,NA,NA,Bee Electronic,NA,NA,NA
Bella Casa,,16.49,  new,0.00%,-%,* -,10.00,40.41,123.85,1000,-,-,8.15,134.40,26.75,134.40,Bella Casa,NA,NA,NA
Bemco Jacks,,-24.15,  new,0.00%,-%,* -,10.00,43.41,0.00,100,-,-,-,NA,NA,NA,Bemco Jacks,NA,NA,NA
Benares Hotels,,470.48, 100 new,200.00%,1.72%,45.98,10.00,59.12,151.32,1,14.24,25.32,2.47,1387.90,1010.00,1164.00,Benares Hotels,NA,NA,NA
Bengal & Assam ,,432.76, 88.64 new,100.00%,0.58%,26.53,10.00,39.26,"1,497.91",1,64.20,65.02,3.99,1939.80,830.00,1725.00,Bengal & Assam ,NA,NA,NA
Benzo Petro,,-24.46,  new,0.00%,-%,* -,10.00,17.17,0.00,100,-,-,-,NA,NA,NA,Benzo Petro,NA,NA,NA
Best Boards,,-35.71,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Best Boards,NA,NA,NA
Best Mulyankan,,52.31,  new,10.00%,-%,41.63,10.00,20.61,0.00,1,-,-,-,NA,NA,NA,Best Mulyankan,NA,NA,NA
Best and Crompt,,8.62,  new,0.00%,-%,-,10.00,52.97,0.00,1,-,-,-,NA,NA,NA,Best and Crompt,NA,NA,NA
Bhagwati Auto,,71.75, 81.15 new,7.00%,0.63%,4.91,10.00,29.10,31.98,1,8.74,22.61,1.55,124.90,52.50,111.00,Bhagwati Auto,NA,NA,NA
Bhagwati Cot,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bhagwati Cot,NA,NA,NA
Bhagyashree Lea,,9.15,  new,0.00%,-%,-,10.00,39.26,24.27,1,-,-,7.58,69.35,Low/High,69.35,Bhagyashree Lea,NA,NA,NA
Bhandari Hosier,,4.03, 67.84 new,1.00%,0.42%,0.29,1.00,42.20,35.17,1,4.80,8.28,0.60,4.08,1.72,2.40,Bhandari Hosier,3.90,2.05,2.40
Bhanderi Infra,,65.82,  new,0.00%,-%,* -,10.00,35.29,0.00,1200,-,-,-,NA,NA,NA,Bhanderi Infra,NA,NA,NA
Bharat Bhushan,,25.36, 90.91 new,5.00%,3.03%,1.48,10.00,39.26,5.58,1,11.15,11.15,0.65,22.69,10.10,16.50,Bharat Bhushan,NA,NA,NA
Bharat Bijlee,,516.94, 60.15 new,0.00%,-%,34.70,10.00,17.85,737.53,1,25.01,37.61,2.52,1498.70,719.75,1305.00,Bharat Bijlee,1500.00,715.55,1303.75
Bharat Gears,,83.54, 40.70 new,0.00%,-%,-,10.00,45.28,129.58,1,8.41,-,1.98,192.45,83.15,165.75,Bharat Gears,192.80,82.50,166.15
Bharat Parent,,4.21,  new,0.00%,-%,* -,10.00,23.62,0.00,100,-,-,-,NA,NA,NA,Bharat Parent,NA,NA,NA
Bharat Rasayan,,472.71, 37.76 new,12.00%,0.04%,128.13,10.00,46.58,"1,371.93",1,19.36,25.20,6.83,3699.00,1118.00,3229.05,Bharat Rasayan,3698.00,1115.00,3228.35
Bharat Starch,,NA,  new,0.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Bharat Starch,NA,NA,NA
Bharat Thermite,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bharat Thermite,NA,NA,NA
Bharati Health,,5.98,  new,0.00%,-%,0.11,10.00,4.80,0.00,1,-,-,-,NA,NA,NA,Bharati Health,NA,NA,NA
Bharatiya Glob,,58.10, 100 new,0.00%,-%,0.29,10.00,18.51,9.78,1,4.35,21.28,0.11,22.13,3.62,6.17,Bharatiya Glob,21.65,3.70,6.10
Bhawana Steel,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bhawana Steel,NA,NA,NA
Bhor Wavelock,,72.07,  new,0.00%,-%,-,10.00,23.10,0.00,100,-,-,-,NA,NA,NA,Bhor Wavelock,NA,NA,NA
Bhoruka Gases,,35.04,  new,0.00%,-%,1.08,2.50,21.64,0.00,1,-,-,-,NA,NA,NA,Bhoruka Gases,NA,NA,NA
Bhoruka Steel,,6.27,  new,0.00%,-%,-,1.00,9.50,0.00,50,-,-,-,NA,NA,NA,Bhoruka Steel,NA,NA,NA
Bhuvan Tripura,,0.76,  new,0.00%,-%,* -,1.00,16.17,150.00,1,-,-,13.16,10.00,10.00,10.00,Bhuvan Tripura,NA,NA,NA
Bilati (Orissa),,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Bilati (Orissa),NA,NA,NA
Binaca Syntheti,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Binaca Syntheti,NA,NA,NA
Binayaka Tex,,921.57,  new,20.00%,0.33%,15.67,10.00,23.65,43.53,1,16.19,39.06,0.66,806.40,301.00,612.00,Binayaka Tex,NA,NA,NA
Bindal Textile ,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Bindal Textile ,NA,NA,NA
Binny,,26.69, 71.23 new,0.00%,-%,137.01,5.00,10.59,580.86,1,1.90,1.90,9.75,374.80,72.00,260.25,Binny,NA,NA,NA
Biowin Pharma,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Biowin Pharma,NA,NA,NA
Birla Capital,,1.95, 100 new,0.00%,-%,-,2.00,39.26,0.89,1,-,-,0.10,0.39,0.19,0.19,Birla Capital,NA,NA,NA
Birla Corp,,412.20, 66.98 new,65.00%,0.69%,27.79,10.00,42.58,"7,281.63",1,20.16,34.03,2.29,964.95,541.10,945.60,Birla Corp,969.00,537.00,950.10
Birla Global,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Birla Global,NA,NA,NA
Birla Gold ETF,,NA, 98.25 new,NA,-%,-,NA,-,62.58,NA,-,-,-,3110.00,2555.00,2745.00,Birla Gold ETF,3350.00,2552.55,2656.00
Birla Pacific,,8.73,  new,0.00%,-%,-,10.00,54.86,0.00,1,-,-,-,NA,NA,NA,Birla Pacific,NA,NA,NA
Birla Transasia,,-144.37,  new,0.00%,-%,-,10.00,114.78,0.00,1,-,-,-,NA,NA,NA,Birla Transasia,NA,NA,NA
Bisil Plast,,0.17, 100 new,0.00%,-%,* -,1.00,23.10,1.19,1,-,-,1.29,0.55,0.21,0.22,Bisil Plast,NA,NA,NA
Bliss GVS,,47.96, 46.20 new,50.00%,0.31%,6.07,1.00,29.58,"1,689.54",1,24.67,26.99,3.42,202.75,115.00,163.80,Bliss GVS,203.40,114.95,163.95
Blossom Brew,,9.41,  new,0.00%,-%,0.88,3.00,35.59,0.00,100,-,-,-,NA,NA,NA,Blossom Brew,NA,NA,NA
Blue Chip Tex,,54.06, 81.86 new,15.00%,1.98%,10.55,10.00,24.04,14.96,1,4.44,7.19,1.40,130.50,72.00,75.90,Blue Chip Tex,NA,NA,NA
Blue Cloud,,1.94,  new,0.00%,-%,-,5.00,18.51,14.01,1,667.00,-,6.88,13.34,6.56,13.34,Blue Cloud,NA,NA,NA
Blue Pearl Texs,,-3.56,  new,0.00%,-%,0.05,10.00,51.24,0.81,1,636.00,636.00,-,33.60,2.00,31.80,Blue Pearl Texs,NA,NA,NA
Bombay Paints,,2.91,  new,0.00%,-%,0.41,10.00,29.89,0.00,1,-,-,-,NA,NA,NA,Bombay Paints,NA,NA,NA
Bombay Rayon,,94.92, 42.99 new,0.00%,-%,-,10.00,23.65,"4,505.29",1,444.41,-,1.59,198.00,118.35,151.10,Bombay Rayon,191.05,118.15,151.65
Boston Teknowsy,,6.07,  new,0.00%,-%,-,10.00,18.51,0.00,1,-,-,-,NA,NA,NA,Boston Teknowsy,NA,NA,NA
Bothra Metals,,12.74, 100 new,0.00%,-%,* -,10.00,27.79,69.25,4000,-,-,2.94,41.40,12.80,37.40,Bothra Metals,NA,NA,NA
Brabourne Enter,,41.79,  new,0.00%,-%,-,10.00,23.62,0.00,1,-,-,-,NA,NA,NA,Brabourne Enter,NA,NA,NA
Brahma Infra,,43.61, 77.07 new,0.00%,-%,0.24,10.00,27.66,124.78,1,9.64,179.17,0.99,50.00,18.75,43.00,Brahma Infra,NA,NA,NA
Brakes Auto,,10.88,  new,0.00%,-%,* -,10.00,45.28,0.00,1,-,-,-,NA,NA,NA,Brakes Auto,NA,NA,NA
Bridge Sec,,3.09, 100 new,0.00%,-%,1.10,10.00,39.26,3.78,1,10.23,10.23,3.64,11.25,4.55,11.25,Bridge Sec,NA,NA,NA
Brijlaxmi Lease,,0.56,  new,0.00%,-%,0.03,1.00,39.26,1.13,1,6.67,6.67,0.36,0.20,0.19,0.20,Brijlaxmi Lease,NA,NA,NA
Britannia NCD,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Britannia NCD,NA,NA,NA
Brite Auto,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Brite Auto,NA,NA,NA
Britelite Carbo,,NA,  new,NA,-%,-,NA,-,0.00,100,-,-,-,NA,NA,NA,Britelite Carbo,NA,NA,NA
Broadcast,,-49.85,  new,0.00%,-%,6.12,10.00,43.78,0.00,1,-,-,-,NA,NA,NA,Broadcast,NA,NA,NA
Bubna Major Bio,,-3.88,  new,0.00%,-%,* -,10.00,20.53,0.00,100,-,-,-,NA,NA,NA,Bubna Major Bio,NA,NA,NA
Bullish Bonds A,,12.05,  new,0.00%,-%,0.38,10.00,39.26,10.72,1,78.82,78.82,2.49,44.00,15.74,29.95,Bullish Bonds A,NA,NA,NA
Burnpur Cement,,5.27, 70.32 new,0.00%,-%,-,10.00,42.58,80.53,1,-,-,1.77,17.50,7.75,9.35,Burnpur Cement,17.55,7.75,9.25
CCL Products,,41.00, 65.80 new,0.00%,-%,7.11,2.00,32.72,"3,775.33",1,35.83,39.92,6.92,371.80,229.00,283.80,CCL Products,372.00,230.00,283.55
CG Consumer,,8.60, 83.25 new,0.00%,-%,4.45,2.00,52.97,"13,716.34",1,47.27,49.18,25.45,246.00,135.05,218.85,CG Consumer,246.00,135.25,218.70
CIFCO Finance,,-33.22,  new,0.00%,-%,* -,10.00,27.32,0.00,100,-,-,-,NA,NA,NA,CIFCO Finance,NA,NA,NA
CMS Computers,,,,,,,,,,,,,,,,,CMS Computers,,,
CMS Infotech,,10.74,  new,0.00%,-%,-,10.00,19.61,0.00,0,-,-,-,NA,NA,NA,CMS Infotech,NA,NA,NA
CRISIL,,100.19, 73.71 new,2700.00%,1.45%,36.21,1.00,52.35,"13,272.42",1,46.27,51.37,18.56,2490.00,1848.00,1860.00,CRISIL,2500.00,1839.05,1857.80
Cadbury,,NA,  new,20.00%,-%,-,NA,-,0.00,1,-,-,-,NA,NA,NA,Cadbury,NA,NA,NA
Calcom Vision,,-18.29,  new,0.00%,-%,1.27,10.00,6.16,3.27,1,3.16,4.53,-,5.76,2.25,5.75,Calcom Vision,NA,NA,NA
California Soft,,-21.30, 100 new,0.00%,-%,1.40,10.00,18.51,9.89,1,5.71,5.71,-,10.10,5.50,8.00,California Soft,8.40,5.10,6.05
Cals Refineries,,-0.03, 100 new,0.00%,-%,* -,1.00,9.63,82.94,1,-,-,-,0.29,0.06,0.10,Cals Refineries,NA,NA,NA
Canara Steel,,-12.24,  new,0.00%,-%,* -,10.00,0.73,0.00,50,-,-,-,NA,NA,NA,Canara Steel,NA,NA,NA
Canbonus,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Canbonus,NA,NA,NA
Canpep 93un,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Canpep 93un,NA,NA,NA
Cantabil Retail,,50.45, 84.61 new,0.00%,-%,2.99,10.00,40.41,117.40,1,9.17,24.05,1.43,90.00,57.10,71.90,Cantabil Retail,92.00,56.55,72.00
Capco Ind,,17.71,  new,NA,-%,* -,10.00,552.67,0.00,0,-,-,0.56,NA,NA,NA,Capco Ind,10.00,10.00,10.00
Capital First,,228.96, 38.78 new,0.00%,-%,22.19,10.00,39.26,"7,581.05",1,32.47,34.96,3.39,814.80,465.10,775.75,Capital First,814.00,465.00,772.65
Captain Pipes,,23.21,  new,0.00%,-%,* -,10.00,63.54,39.42,1500,-,-,4.08,120.00,41.10,94.80,Captain Pipes,NA,NA,NA
Carbon and Che,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Carbon and Che,NA,NA,NA
Career Point,,199.82, 87.54 new,0.00%,-%,8.61,10.00,30.96,188.95,1,9.21,12.10,0.52,141.75,85.20,104.20,Career Point,141.80,94.00,105.00
Casil Health,,5.93,  new,0.00%,-%,1.76,10.00,34.17,0.00,1,-,-,-,NA,NA,NA,Casil Health,NA,NA,NA
Castrol,,12.05, 52.94 new,220.00%,2.75%,13.78,5.00,30.67,"19,807.18",1,27.26,29.06,33.24,495.00,354.00,400.50,Castrol,495.30,353.20,400.65
Cat Technologie,,8.99, 99.98 new,0.00%,-%,-,10.00,18.51,4.69,1,-,-,0.07,1.19,0.46,0.59,Cat Technologie,NA,NA,NA
Ceat,,570.12, 16.69 new,115.00%,0.61%,89.67,10.00,18.80,"7,568.41",1,15.00,20.87,3.28,1948.00,835.85,1871.05,Ceat,1947.90,834.65,1877.15
Celebrity Fash,,0.85, 82.54 new,0.00%,-%,-,10.00,40.41,92.83,1,-,-,23.96,26.74,8.40,20.37,Celebrity Fash,27.05,8.40,20.55
Cera Sanitary,,401.66, 63.72 new,240.00%,0.41%,77.90,5.00,34.04,"3,823.73",1,32.02,37.74,7.32,3225.00,1853.15,2940.00,Cera Sanitary,3315.00,1852.20,2942.65
Chaman Lal Seti,,21.31, 70.52 new,22.00%,0.46%,7.44,2.00,28.07,491.47,1,11.49,12.77,4.46,123.80,48.10,95.00,Chaman Lal Seti,NA,NA,NA
Champdany Ind,,85.27,  new,0.00%,-%,2.74,0.00,60.00,0.00,1,-,-,-,NA,NA,NA,Champdany Ind,NA,NA,NA
Chandni Textile,,13.86, 100 new,0.00%,-%,0.22,10.00,31.07,40.59,1,47.45,114.32,1.81,28.95,6.50,25.15,Chandni Textile,NA,NA,NA
Chandra Prabhu,,33.79, 96.54 new,0.00%,-%,2.53,10.00,51.24,9.17,1,8.46,9.80,0.73,30.00,12.10,24.80,Chandra Prabhu,NA,NA,NA
Chankya Investm,,9.53,  new,0.00%,-%,0.76,10.00,27.21,0.00,1,-,-,-,NA,NA,NA,Chankya Investm,NA,NA,NA
Channel Nine,,1.33,  new,0.00%,-%,* -,1.00,43.78,581.08,2500,-,-,18.76,35.90,20.90,24.95,Channel Nine,NA,NA,NA
Chemfab Alkalie,,149.21,  new,25.00%,-%,* -,5.00,15.42,0.00,1,-,-,-,NA,NA,NA,Chemfab Alkalie,NA,NA,NA
Chemiesynth,,,,,,,,,,,,,,,,,Chemiesynth,,,
Chemo-Pharma,,66.82, 100 new,0.00%,-%,31.23,10.00,29.58,6.30,1,1.34,1.34,0.63,44.40,14.55,42.00,Chemo-Pharma,NA,NA,NA
Chemox Sec,,14.45,  new,NA,-%,* -,0.00,-,0.00,100,-,-,-,NA,NA,NA,Chemox Sec,NA,NA,NA
Chemplast Sanma,,1.53,  new,0.00%,-%,-,1.00,16.50,0.00,1,-,-,-,NA,NA,NA,Chemplast Sanma,NA,NA,NA
Cheran Construc,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Cheran Construc,NA,NA,NA
Chhattisgarh,,-5.33,  new,0.00%,-%,-,10.00,11.71,0.00,1,-,-,-,NA,NA,NA,Chhattisgarh,NA,NA,NA
Choice Financia,,31.54, 100 new,10.00%,1.28%,1.52,10.00,39.26,156.24,1,39.25,51.38,2.48,95.10,41.50,78.10,Choice Financia,NA,NA,NA
Choksi Labs,,30.03, 88.28 new,0.00%,-%,1.27,10.00,30.96,14.52,1,3.88,16.42,0.69,28.95,11.67,20.85,Choksi Labs,NA,NA,NA
Cimmco,,84.41, 68.73 new,0.00%,-%,-,10.00,19.70,171.56,1,-,-,1.01,114.00,56.35,85.15,Cimmco,114.00,57.00,86.00
Cindrella Fin,,8.58,  new,0.00%,-%,0.71,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Cindrella Fin,NA,NA,NA
Cindrella Hotel,,19.92,  new,0.00%,-%,0.65,10.00,59.12,6.62,1,8.76,28.31,0.92,29.80,18.05,18.40,Cindrella Hotel,NA,NA,NA
Cineline India,,33.60, 29.81 new,0.00%,-%,3.77,5.00,43.78,215.60,1,15.25,20.42,2.29,105.60,50.50,77.00,Cineline India,105.95,50.00,77.20
Circuit Systems,,14.36,  new,0.00%,-%,-,10.00,25.89,0.00,1,-,-,-,NA,NA,NA,Circuit Systems,NA,NA,NA
Citi Port Fin,,9.72,  new,0.00%,-%,-,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Citi Port Fin,NA,NA,NA
Citizen Yarns,,-0.12,  new,0.00%,-%,-,5.00,10.59,0.33,1,-,-,-,3.48,0.53,0.53,Citizen Yarns,NA,NA,NA
Clariant India,,84.18,  new,110.00%,-%,20.01,10.00,14.04,0.00,1,-,-,-,NA,NA,NA,Clariant India,NA,NA,NA
Classic Filamen,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Classic Filamen,NA,NA,NA
Classic GlobeSe,,-0.76, 100 new,0.00%,-%,-,10.00,39.26,1.78,1,-,-,-,1.30,0.96,0.96,Classic GlobeSe,NA,NA,NA
Classic Leasing,,NA,  new,NA,-%,-,NA,-,0.86,NA,-,-,-,3.02,2.50,2.88,Classic Leasing,NA,NA,NA
Classic Mushroo,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Classic Mushroo,NA,NA,NA
Coduras Exports,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Coduras Exports,NA,NA,NA
Colgate,,46.83, 60.62 new,1000.00%,0.93%,21.23,1.00,57.34,"29,320.05",1,41.26,50.78,23.02,1132.90,861.90,1078.00,Colgate,1138.90,861.30,1079.55
Comfort,,2.97, 99.79 new,2.00%,2.86%,0.02,1.00,39.26,22.40,1,23.33,35.00,0.24,1.15,0.59,0.70,Comfort,NA,NA,NA
Compact Disc,,89.52,  new,0.00%,-%,-,10.00,43.78,0.00,1,-,-,-,NA,NA,NA,Compact Disc,NA,NA,NA
Competent Auto,,187.64, 53.07 new,10.00%,0.44%,19.72,10.00,51.24,140.16,1,8.08,11.56,1.22,260.00,138.10,228.05,Competent Auto,NA,NA,NA
Compuage Info,,20.07, 51.89 new,20.00%,1.36%,3.01,2.00,22.89,172.70,1,8.19,9.77,1.46,305.95,21.35,29.40,Compuage Info,62.30,21.20,29.45
Computer Point,,11.12,  new,0.00%,-%,0.07,10.00,33.50,3.00,1,9.09,14.29,0.09,2.25,0.83,1.00,Computer Point,NA,NA,NA
Conart Engineer,,53.19, 82.54 new,0.00%,-%,4.34,10.00,35.29,14.46,1,7.95,11.11,0.91,59.50,25.00,48.20,Conart Engineer,NA,NA,NA
Concord Drugs,,21.02, 100 new,0.00%,-%,0.22,10.00,29.58,28.25,1,10.29,177.27,1.86,73.00,37.55,39.00,Concord Drugs,NA,NA,NA
Confidence Fin,,2.11, 100 new,0.00%,-%,* -,1.00,51.24,6.97,1,-,-,0.32,0.73,0.64,0.68,Confidence Fin,NA,NA,NA
Consol Containe,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Consol Containe,NA,NA,NA
Contech Soft,,13.92, 100 new,0.00%,-%,-,10.00,11.71,0.86,1,-,-,0.11,3.90,1.45,1.55,Contech Soft,NA,NA,NA
Continent Const,,34.15,  new,0.00%,-%,11.77,10.00,20.44,0.00,1,-,-,-,NA,NA,NA,Continent Const,NA,NA,NA
Continent Petro,,29.17, 100 new,0.00%,-%,1.70,10.00,30.67,8.17,1,11.62,17.29,1.01,31.95,14.05,29.40,Continent Petro,NA,NA,NA
Continental Sec,,11.17,  new,0.00%,-%,0.28,10.00,39.26,0.00,1,-,-,-,NA,NA,NA,Continental Sec,NA,NA,NA
Conway Printers,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Conway Printers,NA,NA,NA
Coral Newsprint,,-2.34,  new,0.00%,-%,-,10.00,24.34,0.00,100,-,-,-,NA,NA,NA,Coral Newsprint,NA,NA,NA
Coromandal Biot,,3.32,  new,0.00%,-%,-,10.00,32.95,0.00,100,-,-,-,NA,NA,NA,Coromandal Biot,NA,NA,NA
Coromandel Engg,,9.09, 95.33 new,0.00%,-%,-,10.00,27.65,172.65,1,-,-,5.72,64.00,31.35,51.95,Coromandel Engg,NA,NA,NA
Coromandel Gran,,NA,  new,NA,-%,-,NA,-,0.00,NA,-,-,-,NA,NA,NA,Coromandel Gran,NA,NA,NA
Cosmo Films,,312.95, 64.08 new,0.00%,-%,57.22,10.00,23.10,819.78,1,5.63,7.35,1.34,468.80,310.00,420.40,Cosmo Films,469.90,307.60,423.95
Cravatex,,114.20, 93.15 new,0.00%,-%,-,10.00,51.24,109.83,1,685.48,-,3.72,529.40,172.25,425.00,Cravatex,NA,NA,NA
